iter	Passed	Remaining
334	827	1642
335	829	1638
336	830	1634
337	832	1630
338	834	1626
339	835	1622
340	837	1618
341	840	1616
342	841	1612
343	843	1608
344	845	1605
345	847	1601
346	848	1597
347	850	1593
348	852	1589
349	853	1585
350	856	1583
351	858	1579
352	859	1575
353	861	1571
354	862	1567
355	864	1564
356	868	1564
357	872	1565
358	875	1562
359	877	1559
360	878	1555
361	881	1554
362	883	1550
363	887	1551
364	890	1548
365	892	1546
366	895	1543
367	896	1540
368	898	1536
369	906	1543
370	909	1541
371	910	1537
372	912	1533
373	914	1529
374	922	1537
375	923	1533
376	925	1529
377	926	1525
378	928	1521
379	929	1517
380	932	1515
381	934	1512
382	936	1508
383	937	1504
384	939	1500
385	940	1496
386	942	1493
387	944	1489
388	947	1489
389	950	1486
390	951	1482
391	953	1478
392	955	1475
393	956	1471
394	958	1467
395	959	1464
396	963	1463
397	964	1459
398	966	1456
399	968	1452
400	969	1448
401	971	1444
402	973	1441
403	974	1438
404	977	1436
405	979	1432
406	980	1429
407	982	1425
408	983	1421
409	985	1418
410	987	1414
411	988	1411
412	990	1407
413	993	1406
414	995	1402
415	996	1399
416	998	1395
417	999	1392
418	1001	1388
419	1003	1385
420	1004	1381
421	1006	1378
422	1009	1376
423	1010	1372
424	1012	1369
425	1013	1365
426	1015	1362
427	1016	1358
428	1018	1355
429	1019	1351
430	1023	1351
431	1025	1347
432	1026	1344
433	1027	1340
434	1029	1337
435	1031	1334
436	1033	1331
437	1034	1327
438	1036	1324
439	1039	1322
440	1041	1319
441	1042	1316
442	1044	1312
443	1045	1309
444	1047	1305
445	1048	1302
446	1050	1299
447	1051	1296
448	1054	1294
449	1056	1290
450	1058	1287
451	1059	1284
452	1061	1281
453	1062	1277
454	1064	1274
455	1065	1271
456	1067	1268
457	1070	1266
458	1072	1264
459	1074	1261
460	1075	1257
461	1077	1254
462	1078	1251
463	1080	1248
464	1082	1245
465	1085	1243
466	1086	1240
467	1088	1237
468	1090	1234
469	1091	1231
470	1093	1227
471	1094	1224
472	1096	1221
473	1098	1219
474	1100	1216
475	1101	1213
476	1103	1209
477	1105	1206
478	1106	1203
479	1108	1200
480	1109	1197
481	1111	1194
482	1114	1192
483	1116	1189
484	1117	1187
485	1119	1183
486	1121	1180
487	1122	1177
488	1124	1174
489	1126	1172
490	1127	1169
491	1131	1167
492	1132	1164
493	1134	1161
494	1135	1158
495	1138	1156
496	1139	1153
497	1141	1150
498	1144	1149
499	1146	1146
500	1148	1143
501	1150	1140
502	1151	1137
503	1153	1134
504	1154	1131
505	1156	1129
506	1158	1126
507	1160	1123
508	1162	1120
509	1164	1118
510	1165	1115
511	1167	1112
512	1169	1109
513	1171	1107
514	1173	1104
515	1175	1102
516	1177	1100
517	1179	1097
518	1180	1094
519	1182	1091
520	1184	1088
521	1186	1086
522	1188	1083
523	1190	1081
524	1192	1078
525	1193	1075
526	1195	1072
527	1196	1069
528	1198	1067
529	1200	1064
530	1203	1062
531	1204	1059
532	1206	1057
533	1208	1054
534	1209	1051
535	1211	1048
536	1212	1045
537	1214	1042
538	1216	1040
539	1218	1038
540	1220	1035
541	1221	1032
542	1223	1029
543	1225	1027
544	1227	1024
545	1228	1021
546	1230	1018
547	1232	1016
548	1234	1014
549	1236	1011
550	1237	1008
551	1239	1005
552	1240	1002
553	1242	999
554	1243	997
555	1245	994
556	1248	992
557	1249	989
558	1251	987
559	1252	984
560	1254	981
561	1255	978
562	1257	976
563	1259	973
564	1260	970
565	1264	969
566	1266	967
567	1268	964
568	1270	962
569	1271	959
570	1273	956
571	1275	954
572	1279	953
573	1281	950
574	1283	948
575	1285	946
576	1286	943
577	1288	940
578	1290	938
579	1293	936
580	1295	934
581	1297	931
582	1299	929
583	1300	926
584	1302	923
585	1303	921
586	1305	918
587	1308	916
588	1310	914
589	1312	912
590	1314	909
591	1316	907
592	1319	905
593	1320	902
594	1323	901
595	1326	899
596	1328	896
597	1330	894
598	1332	892
599	1334	889
600	1336	887
601	1341	886
602	1343	884
603	1345	881
604	1346	879
605	1348	876
606	1350	874
607	1351	871
608	1354	869
609	1356	867
610	1358	864
611	1359	862
612	1361	859
613	1364	858
614	1366	855
615	1370	854
616	1371	851
617	1373	848
618	1374	846
619	1376	843
620	1378	841
621	1379	838
622	1381	835
623	1384	834
624	1385	831
625	1387	828
626	1388	826
627	1391	824
628	1392	821
629	1394	819
630	1396	816
631	1400	815
632	1402	813
633	1404	811
634	1407	808
635	1408	806
636	1410	803
637	1411	801
638	1414	799
639	1416	796
640	1418	794
641	1419	791
642	1421	789
643	1422	786
644	1424	783
645	1425	781
646	1427	778
647	1429	776
648	1431	774
649	1433	771
650	1435	769
651	1437	767
652	1438	764
653	1440	762
654	1442	759
655	1444	757
656	1446	755
657	1448	752
658	1449	750
659	1451	747
660	1452	745
661	1454	742
662	1456	740
663	1459	738
664	1461	736
665	1462	733
666	1464	730
667	1465	728
668	1467	726
669	1468	723
670	1470	720
671	1473	719
672	1475	716
673	1477	714
674	1478	711
675	1480	709
676	1482	707
677	1483	704
678	1485	702
679	1486	699
680	1490	698
681	1491	695
682	1493	693
683	1495	690
684	1496	688
685	1498	686
686	1500	683
687	1504	682
688	1506	679
689	1507	677
690	1509	675
691	1511	672
692	1513	670
693	1514	667
694	1516	665
695	1519	663
696	1520	661
697	1522	658
698	1524	656
699	1525	653
700	1527	651
701	1528	649
702	1530	646
703	1532	644
704	1536	642
705	1538	640
706	1540	638
707	1541	635
708	1543	633
709	1544	631
710	1546	628
711	1550	627
712	1554	625
713	1555	623
714	1557	620
715	1559	618
716	1561	616
717	1562	613
718	1565	611
719	1567	609
720	1569	607
721	1571	605
722	1573	602
723	1575	600
724	1577	598
725	1580	596
726	1582	594
727	1584	591
728	1585	589
729	1587	587
730	1589	584
731	1590	582
732	1592	579
733	1594	577
734	1596	575
735	1598	573
736	1599	570
737	1601	568
738	1603	566
739	1604	563
740	1605	561
741	1607	558
742	1609	556
743	1611	554
744	1613	552
745	1615	549
746	1616	547
747	1618	545
748	1619	542
749	1621	540
750	1623	538
751	1626	536
752	1627	533
753	1629	531
754	1631	529
755	1633	527
756	1634	524
757	1636	522
758	1638	520
759	1641	518
760	1642	515
761	1644	513
762	1646	511
763	1647	509
764	1649	506
765	1651	504
766	1652	502
767	1656	500
768	1659	498
769	1660	496
770	1662	493
771	1663	491
772	1666	489
773	1667	486
774	1670	484
775	1672	482
776	1673	480
777	1674	477
778	1676	475
779	1678	473
780	1679	471
781	1681	468
782	1683	466
783	1686	464
784	1688	462
785	1690	460
786	1691	457
787	1694	455
788	1695	453
789	1697	451
790	1699	448
791	1702	447
792	1703	444
793	1705	442
794	1707	440
795	1709	438
796	1711	435
797	1712	433
798	1714	431
799	1717	429
800	1718	427
801	1720	424
802	1726	423
803	1728	421
804	1731	419
805	1734	417
806	1736	415
807	1738	413
808	1740	410
809	1742	408
810	1744	406
811	1747	404
812	1748	402
813	1750	399
814	1753	398
815	1755	395
816	1757	393
817	1758	391
818	1760	389
819	1763	387
820	1765	384
821	1767	382
822	1769	380
823	1771	378
824	1772	376
825	1774	373
826	1775	371
827	1777	369
828	1782	367
829	1784	365
830	1787	363
831	1789	361
832	1796	360
833	1798	358
834	1800	355
835	1804	354
836	1809	352
837	1811	350
838	1813	347
839	1814	345
840	1816	343
841	1819	341
842	1820	339
843	1826	337
844	1828	335
845	1829	333
846	1831	330
847	1834	328
848	1836	326
849	1840	324
850	1842	322
851	1844	320
852	1846	318
853	1849	316
854	1856	314
855	1858	312
856	1860	310
857	1862	308
858	1863	305
859	1870	304
860	1873	302
861	1875	300
862	1876	297
863	1878	295
864	1881	293
865	1885	291
866	1890	290
867	1892	287
868	1894	285
869	1897	283
870	1904	282
871	1905	279
872	1907	277
873	1909	275
874	1912	273
875	1917	271
876	1920	269
877	1922	267
878	1924	264
879	1927	262
880	1932	261
881	1936	259
882	1937	256
883	1939	254
884	1941	252
885	1943	250
886	1948	248
887	1951	246
888	1953	243
889	1954	241
890	1956	239
891	1958	237
892	1965	235
893	1967	233
894	1968	230
895	1970	228
896	1972	226
897	1975	224
898	1978	222
899	1980	220
900	1981	217
901	1983	215
902	1984	213
903	1986	210
904	1987	208
905	1992	206
906	1995	204
907	1996	202
908	1999	200
909	2001	197
910	2003	195
911	2009	193
912	2011	191
913	2012	189
914	2014	187
915	2015	184
916	2017	182
917	2021	180
918	2024	178
919	2025	176
920	2027	173
921	2028	171
922	2030	169
923	2032	167
924	2036	165
925	2040	163
926	2041	160
927	2043	158
928	2047	156
929	2059	155
930	2064	153
931	2072	151
932	2075	149
933	2077	146
934	2080	144
935	2089	142
936	2090	140
937	2093	138
938	2095	136
939	2106	134
940	2110	132
941	2111	130
942	2117	128
943	2119	125
944	2122	123
945	2124	121
946	2126	119
947	2134	117
948	2136	114
949	2138	112
950	2140	110
951	2142	108
952	2149	105
953	2152	103
954	2154	101
955	2156	99
956	2158	96
957	2163	94
958	2165	92
959	2167	90
960	2168	88
961	2170	85
962	2171	83
963	2173	81
964	2177	78
965	2181	76
966	2183	74
967	2186	72
968	2188	70
969	2196	67
970	2198	65
971	2200	63
972	2202	61
973	2205	58
974	2208	56
975	2210	54
976	2212	52
977	2213	49
978	2215	47
979	2218	45
980	2223	43
981	2226	40
982	2228	38
983	2229	36
984	2231	33
985	2233	31
986	2237	29
987	2242	27
988	2244	24
989	2248	22
990	2250	20
991	2260	18
992	2263	15
993	2266	13
994	2273	11
995	2275	9
996	2277	6
997	2279	4
998	2281	2
999	2287	0
